MunicipCode,pan.vote.09,marginality.06,PAN.governor.06,PAN.visits.06
1001,0.283,-1.831,0,5
1002,0.352,-0.62,0,0
1003,0.359,-0.875,0,0
1004,0.238,-0.747,0,0
1005,0.378,-1.234,0,0
1006,0.145,-1.306,0,0
1007,0.263,-1.136,0,0
1008,0.314,-0.81,0,0
1009,0.306,-0.722,0,0
1010,0.308,-0.641,0,0
1011,0.317,-1.153,0,0
2001,0.357,-1.609,1,1
2002,0.405,-1.898,1,1
2003,0.383,-1.626,1,0
2004,0.374,-1.926,1,3
2005,0.323,-1.546,1,0
3001,0.227,-1.245,1,0
3002,0.126,-1.2,1,0
3003,0.166,-1.775,1,0
3008,0.126,-1.515,1,0
3009,0.185,-1.337,1,0
4001,0.378,-0.248,0,0
4002,0.383,-1.305,0,0
4003,0.402,-1.063,0,1
4004,0.446,-0.231,0,0
4005,0.458,-0.273,0,0
4006,0.466,0.28,0,0
4007,0.2,0.121,0,0
4008,0.44,-0.047,0,0
4009,0.392,-0.241,0,0
4010,,0.972,0,0
4011,0.465,0.62,0,0
5001,0.231,-1.041,0,0
5002,0.159,-1.611,0,0
5003,0.199,-1.712,0,0
5004,0.095,-0.669,0,0
5005,0.187,-0.538,0,0
5006,0.183,-1.466,0,0
5007,0.19,-0.931,0,0
5008,0.197,-0.693,0,0
5009,0.131,-1.083,0,0
5010,0.209,-1.612,0,0
5011,0.223,-0.377,0,0
5012,0.239,-0.694,0,0
5013,0.083,-0.746,0,0
5014,0.161,-0.691,0,0
5015,0.186,-0.733,0,0
5016,0.405,-1.054,0,0
5017,0.194,-1.076,0,0
5018,0.258,-1.882,0,0
5019,0.198,-1.567,0,0
5020,0.244,-1.43,0,0
5021,0.113,-1.001,0,0
5022,0.274,-1.5,0,0
5023,0.12,-0.659,0,0
5024,0.291,-1.115,0,0
5025,0.233,-1.859,0,0
5026,0.14,-0.698,0,0
5027,0.195,-1.67,0,0
5028,0.211,-1.694,0,0
5029,0.162,-1.081,0,0
5030,0.163,-1.921,0,1
5031,0.142,-1.682,0,0
5032,0.192,-1.7,0,0
5033,0.132,-0.935,0,0
5034,0.289,-1.061,0,0
5035,0.259,-1.893,0,1
5036,0.135,-0.537,0,0
5037,0.293,-1.313,0,0
5038,0.325,-1.319,0,0
6001,0.527,-0.688,0,0
6002,0.407,-1.724,0,2
6003,0.432,-0.803,0,0
6004,0.466,-0.838,0,0
6005,0.315,-1.245,0,0
6006,0.365,-0.338,0,0
6007,0.399,-1.513,0,1
6008,0.312,-0.641,0,0
6009,0.481,-0.804,0,1
6010,0.412,-1.875,0,0
7001,0.381,0.491,0,0
7002,0.464,0.364,0,0
7003,0.531,0.68,0,0
7004,0.313,0.992,0,0
7005,0.561,1.754,0,0
7006,0.188,0.731,0,0
7007,0.012,2.012,0,0
7008,0.18,0.876,0,0
7009,0.605,-0.292,0,0
7010,0.286,1.288,0,0
7011,0.106,0.77,0,0
7012,0.487,0.177,0,0
7013,0.35,0.478,0,0
7014,0.278,1.074,0,0
7015,0.465,0.098,0,0
7016,0.131,0.502,0,0
7017,0.083,0.155,0,0
7018,0.49,0.921,0,0
7019,0.14,-0.416,0,0
7020,0.033,1.091,0,1
7021,0.565,0.451,0,0
7022,0.051,2.354,0,0
7023,0.052,1.882,0,0
7024,0.07,1.696,0,0
7025,0.401,0.824,0,0
7026,0.106,1.79,0,0
7027,0.429,-0.007,0,1
7028,0.597,0.79,0,0
7029,0.545,0.061,0,0
7030,0.078,1.051,0,0
7031,0.03,2.153,0,0
7032,0.324,0.602,0,0
7033,0.292,1.598,0,0
7034,0.151,0.137,0,0
7035,0.49,0.516,0,0
7036,0.296,0.924,0,0
7037,0.356,0.584,0,0
7038,0.259,1.578,0,0
7039,,1.662,0,0
7040,0.547,-0.151,0,0
7041,0.082,0.645,0,0
7042,0.18,0.873,0,0
7043,,0.638,0,0
7044,0.461,0.501,0,0
7045,,1.227,0,0
7046,0.05,0.266,0,0
7047,0.154,0.954,0,0
7048,,0.28,0,0
7049,0.177,1.664,0,0
7050,0.234,0.497,0,0
7051,0.5,0.233,0,0
7052,0.121,1.134,0,0
7053,0.286,0.697,0,0
7054,0.303,0.634,0,0
7055,0.589,0.13,0,0
7056,0.338,2.048,0,0
7057,0.341,0.583,0,0
7058,0.076,1.296,0,0
7059,0.382,1.457,0,0
7060,0.117,1.619,0,0
7061,,0.428,0,0
7062,0.705,1.136,0,0
7063,0.465,0.062,0,0
7064,0.038,1.788,0,0
7065,0.078,0.604,0,0
7066,0.045,2.262,0,0
7067,0.119,1.373,0,0
7068,0.528,0.257,0,0
7069,0.532,0.495,0,0
7070,0.258,1.185,0,0
7071,0.374,0.772,0,0
7072,0.384,1.185,0,0
7073,0.407,0.722,0,0
7074,0.484,-0.776,0,0
7075,0.31,1.081,0,0
7076,0.046,1.52,0,0
7077,0.038,1.693,0,0
7078,0.163,-0.62,0,1
7079,0.498,0.287,0,0
7080,0.231,1.298,0,0
7081,0.192,1.353,0,0
7082,0.03,3.355,0,0
7083,0.122,1.02,0,0
7084,0.588,0.915,0,0
7085,0.334,0.554,0,0
7086,0.572,-0.01,0,0
7087,0.329,0.461,0,0
7088,0.56,1.054,0,0
7089,0.382,-0.437,0,0
7090,0.22,0.748,0,0
7091,0.418,0.28,0,0
7092,0.631,0.815,0,0
7093,0.157,1.38,0,0
7094,0.154,1.105,0,0
7096,0.666,1.423,0,0
7097,0.527,-0.075,0,0
7098,0.176,1.251,0,0
7099,0.185,0.505,0,0
7100,0.031,1.824,0,0
7101,0.363,-1.26,0,3
7102,0.389,0.427,0,0
7103,0.514,0.711,0,0
7104,0.103,0.641,0,0
7105,0.425,0.311,0,0
7106,0.403,0.737,0,0
7107,0.077,0.677,0,0
7108,0.082,0.149,0,0
7109,0.031,0.922,0,0
7110,0.203,1.257,0,0
7111,0.15,1.807,0,0
7112,0.122,1.975,0,0
7113,,2.329,0,0
7114,,1.129,0,0
7115,,1.528,0,0
7116,,1.611,0,0
7117,,1.126,0,0
7118,,1.498,0,0
7119,,2.219,0,0
8001,0.28,-1.426,0,0
8002,0.308,-1.607,0,0
8003,0.193,-1.191,0,0
8004,0.217,-1.119,0,0
8005,0.295,-1.271,0,0
8006,0.258,-1.026,0,0
